@RELATION ./data/classifySpeechPronunciation_L_R
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {classify_l,classify_r}

@DATA
0.058897,0.102112,2.998260,0.142203,0.190297,0.214283,0.024575,0.058214,-26.589521,3.378702,0.589507,0.956649,0.566403,0.160532,0.032507,0.085501,0.148371,-0.328621,-0.027577,0.013659,-0.262967,0.019310,0.000282,0.009943,0.003277,0.014443,0.007701,0.117719,0.000047,0.000720,0.060433,0.024007,0.000325,0.042647,0.047908,0.113625,0.487771,0.022906,0.028234,0.175753,0.022913,0.036036,3.437659,0.364719,0.562265,0.447809,0.359122,0.273498,0.247485,0.157983,0.153850,0.286405,0.203964,0.147680,0.162194,0.026776,0.000331,0.007992,0.003002,0.017056,0.008848,0.070773,0.000050,0.000836,0.056054,0.033438,0.000495,0.012496,classify_l
0.058002,0.128558,3.069226,0.146042,0.176268,0.326130,0.022718,0.065714,-24.582981,3.605631,0.005056,0.673545,0.544995,0.065031,-0.050215,0.144264,0.317822,-0.295820,0.157549,0.023037,-0.403856,0.009582,0.000553,0.007846,0.002313,0.013242,0.001933,0.045631,0.000181,0.000821,0.105269,0.062045,0.001093,0.042668,0.010414,0.100823,0.253724,0.017005,0.021313,0.129630,0.018439,0.020603,2.384879,0.384481,0.606531,0.550549,0.394267,0.092711,0.307207,0.116741,0.177048,0.261668,0.275990,0.186977,0.225955,0.006261,0.000293,0.007472,0.001325,0.017502,0.001470,0.045018,0.000162,0.000716,0.065212,0.063334,0.001290,0.008999,classify_l
0.057644,0.046218,2.905524,0.163389,0.219561,0.268847,0.027993,0.065750,-29.795368,3.175007,0.810513,0.741069,0.579803,0.132605,-0.008179,0.099903,0.106009,-0.165131,0.044089,-0.003240,-0.227799,0.017349,0.000350,0.017311,0.003173,0.022146,0.005565,0.068102,0.000097,0.000891,0.088088,0.035183,0.000950,0.040167,0.027109,0.082362,0.348326,0.032304,0.038079,0.271545,0.025322,0.049454,4.852304,0.431485,0.713389,0.332830,0.288494,0.127813,0.294657,0.152902,0.199055,0.308319,0.199022,0.183708,0.205628,0.027396,0.000537,0.015172,0.002365,0.023915,0.010784,0.058120,0.000097,0.000855,0.064410,0.043908,0.001430,0.008814,classify_l
0.060740,0.067367,3.046663,0.186596,0.225571,0.398458,0.020894,0.080588,-27.782906,2.981474,0.632255,0.727180,0.601097,0.078961,0.167888,0.157960,-0.032710,-0.151147,-0.024854,0.030930,-0.339144,0.023251,0.000608,0.009759,0.004445,0.017655,0.005432,0.074808,0.000191,0.000862,0.081539,0.032836,0.000616,0.038936,0.050041,0.095625,0.164376,0.060260,0.040736,0.473947,0.014738,0.094478,3.611186,0.720070,0.423379,0.188002,0.223151,0.223112,0.242116,0.294833,0.205110,0.174540,0.195132,0.220126,0.158985,0.035889,0.000702,0.004434,0.003221,0.016475,0.007367,0.063891,0.000240,0.000807,0.055708,0.036708,0.000895,0.008922,classify_r
0.059076,0.074006,2.839068,0.166409,0.215215,0.299524,0.025703,0.066786,-26.777384,3.120280,0.706189,0.883240,0.492631,-0.025157,0.151167,0.150393,-0.138218,-0.033179,0.071068,-0.114094,-0.259060,0.021484,0.000368,0.022342,0.007297,0.028842,0.005387,0.078224,0.000130,0.000823,0.055156,0.039432,0.002133,0.035069,0.017816,0.090928,0.651973,0.020116,0.024299,0.173213,0.020867,0.024320,3.561617,0.262608,0.523999,0.213316,0.171136,0.260790,0.196779,0.208712,0.180070,0.150154,0.242037,0.184638,0.182048,0.023171,0.000308,0.028405,0.006693,0.024140,0.004809,0.053304,0.000103,0.000931,0.040636,0.050383,0.004536,0.009837,classify_r
0.057769,0.027382,2.881738,0.175306,0.236120,0.209205,0.024075,0.056000,-30.544502,3.127140,0.990255,0.829242,0.701824,0.044215,0.021510,0.063481,0.001031,-0.212472,-0.031836,-0.100872,-0.203843,0.016233,0.000254,0.018204,0.021742,0.043066,0.004205,0.057866,0.000284,0.000660,0.084958,0.020771,0.000828,0.039258,0.015801,0.056894,0.259322,0.031881,0.040605,0.135830,0.016883,0.014370,4.190220,0.462183,0.449629,0.257301,0.252007,0.137712,0.252032,0.097254,0.173614,0.119716,0.170939,0.113521,0.170794,0.020156,0.000216,0.016346,0.045101,0.057595,0.004721,0.042050,0.000593,0.000634,0.058949,0.018488,0.001925,0.009246,classify_r
0.062907,0.022719,2.934196,0.191614,0.264417,0.203604,0.035697,0.051375,-33.211010,2.925560,1.178358,0.725269,0.726435,0.042760,0.180804,0.102457,0.049275,-0.123822,0.066795,-0.113573,-0.216430,0.011269,0.000341,0.025711,0.009482,0.028218,0.004457,0.095418,0.000086,0.000579,0.066088,0.016324,0.000660,0.037851,0.029132,0.047669,0.189776,0.029649,0.030031,0.120964,0.024857,0.011594,2.892100,0.339622,0.292617,0.199319,0.237725,0.150892,0.143643,0.146729,0.154872,0.140262,0.214464,0.146688,0.151008,0.009583,0.000284,0.019937,0.021810,0.032306,0.005746,0.055778,0.000078,0.000589,0.052232,0.010259,0.001016,0.010733,classify_r
0.048176,0.047914,2.953346,0.172937,0.231192,0.236909,0.018705,0.056667,-27.306770,3.084486,0.873788,0.741877,0.491742,0.130108,0.056983,0.069881,-0.039339,-0.088751,-0.012632,-0.057614,-0.116947,0.013358,0.000317,0.022984,0.006706,0.034245,0.013891,0.080463,0.000127,0.000947,0.061665,0.029950,0.001276,0.034596,0.008336,0.082035,0.278313,0.018662,0.015699,0.086929,0.009080,0.010274,2.799274,0.164781,0.158135,0.140556,0.162090,0.149146,0.153053,0.069924,0.111911,0.107105,0.123434,0.097686,0.103348,0.007627,0.000170,0.014780,0.005613,0.020946,0.020084,0.061318,0.000067,0.000637,0.045129,0.022474,0.001688,0.006372,classify_r
0.053811,0.035684,2.952500,0.176919,0.239567,0.244193,0.018826,0.055000,-30.564153,3.069253,0.925200,0.632738,0.581742,0.143568,0.191421,0.006348,-0.050534,-0.109096,-0.017267,-0.128699,-0.199474,0.010656,0.000301,0.019385,0.004534,0.031912,0.007780,0.061142,0.000235,0.000573,0.091494,0.027724,0.002184,0.036003,0.010320,0.086078,0.208592,0.028539,0.035191,0.114574,0.015428,0.013933,4.563548,0.406399,0.333480,0.246939,0.251831,0.166448,0.181182,0.120400,0.188516,0.095960,0.218637,0.106288,0.135273,0.011615,0.000247,0.015019,0.004680,0.037145,0.012852,0.044684,0.000422,0.000652,0.055072,0.023893,0.004316,0.008716,classify_r
0.045341,0.096959,3.077841,0.138947,0.189747,0.170654,0.020406,0.059091,-27.071778,3.628670,0.870013,0.578961,0.495191,-0.001845,0.146724,0.006839,-0.211490,-0.157139,0.186694,-0.086023,-0.258932,0.009941,0.000248,0.007805,0.003210,0.016140,0.022518,0.096259,0.000051,0.000915,0.089331,0.014109,0.000333,0.045710,0.009704,0.113806,0.164905,0.032397,0.038871,0.085259,0.012540,0.011245,2.937259,0.683882,0.352293,0.364697,0.253927,0.204239,0.305404,0.151144,0.236053,0.169628,0.341821,0.120557,0.168352,0.010391,0.000205,0.006617,0.005113,0.031327,0.025858,0.073320,0.000044,0.000914,0.073230,0.015175,0.000461,0.005962,classify_r
0.061404,0.037626,2.958595,0.174447,0.236592,0.229649,0.016835,0.056000,-30.678635,3.117649,0.963608,0.704889,0.655647,0.092875,0.129535,0.099742,-0.012551,-0.130652,0.028205,-0.104393,-0.237442,0.023774,0.000456,0.013370,0.022115,0.044526,0.004980,0.065095,0.000407,0.000987,0.065181,0.028760,0.000514,0.036645,0.016691,0.070183,0.232513,0.037206,0.047315,0.115851,0.011656,0.013565,5.068046,0.563072,0.475594,0.210894,0.225456,0.219421,0.222771,0.142519,0.185054,0.184558,0.186282,0.121690,0.160098,0.024427,0.000614,0.009966,0.052547,0.051983,0.008366,0.037567,0.000690,0.001235,0.047344,0.030953,0.000857,0.009933,classify_r
0.046617,0.115861,3.046387,0.169281,0.212487,0.332658,0.032212,0.061500,-25.324330,3.198793,0.466972,0.594123,0.601440,0.037733,0.049917,0.159385,-0.093345,-0.136417,0.125913,-0.022666,-0.267088,0.012209,0.000698,0.021950,0.014788,0.022029,0.015274,0.112979,0.000152,0.001001,0.046880,0.016620,0.001009,0.041197,0.013645,0.106461,0.227000,0.032762,0.037372,0.087162,0.030170,0.010500,2.857814,0.469093,0.309773,0.204066,0.293181,0.129724,0.250801,0.299521,0.200094,0.127327,0.248789,0.155017,0.157403,0.012504,0.000543,0.026807,0.025063,0.024838,0.015350,0.070297,0.000128,0.000521,0.059905,0.016308,0.001402,0.011916,classify_r
0.064662,0.036503,3.023138,0.190979,0.240648,0.350158,0.025478,0.071000,-28.520580,2.933052,0.949556,0.586465,0.639845,-0.028256,0.051536,0.188783,-0.124830,-0.231262,0.041811,0.021961,-0.239074,0.017164,0.000463,0.017381,0.006336,0.061714,0.007879,0.081389,0.000609,0.000708,0.055463,0.016328,0.001023,0.040873,0.020963,0.071368,0.256962,0.037752,0.038209,0.230353,0.018067,0.028443,4.409040,0.454309,0.491788,0.205705,0.118650,0.155185,0.151853,0.162481,0.264083,0.150022,0.171078,0.141737,0.218668,0.018329,0.000397,0.012561,0.005993,0.058188,0.009365,0.070792,0.001126,0.000413,0.061744,0.009548,0.000554,0.010894,classify_r
0.072995,0.035449,3.056713,0.185119,0.235933,0.406060,0.013735,0.087500,-26.898416,2.975972,0.849250,0.608347,0.623997,-0.017417,0.007729,0.247346,-0.014276,-0.342776,-0.019143,0.079187,-0.301612,0.018160,0.000391,0.016910,0.007100,0.067874,0.006344,0.090453,0.000490,0.000885,0.038793,0.013500,0.001866,0.038179,0.033822,0.047440,0.138781,0.019179,0.024740,0.306394,0.008006,0.063982,3.342452,0.270848,0.506170,0.222748,0.175579,0.236773,0.253368,0.314077,0.187678,0.090684,0.160399,0.181924,0.160628,0.017438,0.000299,0.015371,0.006152,0.059244,0.006464,0.044045,0.000978,0.000475,0.045065,0.011412,0.001192,0.003735,classify_r
0.048335,0.096807,3.082999,0.179307,0.224867,0.364739,0.026960,0.072143,-25.876088,3.195879,0.652435,0.484173,0.619293,-0.020064,-0.024040,0.276913,0.075631,-0.142359,0.123600,-0.033279,-0.382156,0.006734,0.001066,0.009906,0.012714,0.046327,0.006641,0.111542,0.000154,0.000783,0.052538,0.006066,0.001985,0.039099,0.009634,0.106212,0.189847,0.029327,0.039338,0.168190,0.028019,0.029381,3.363491,0.561275,0.494271,0.258782,0.268475,0.141665,0.299525,0.110493,0.204719,0.066386,0.237918,0.158220,0.226261,0.004356,0.000461,0.007091,0.017363,0.043178,0.004912,0.054725,0.000167,0.000516,0.042090,0.004006,0.001547,0.008894,classify_r
0.042248,0.072456,2.963180,0.152727,0.205294,0.219418,0.020029,0.050357,-26.802702,3.275379,0.761376,0.881809,0.533537,-0.040456,0.236424,0.223708,-0.005941,-0.051006,0.044960,-0.098243,-0.255214,0.013955,0.000418,0.013798,0.003774,0.019694,0.003504,0.079900,0.000111,0.000681,0.092939,0.027855,0.001289,0.038446,0.006484,0.078257,0.272560,0.030376,0.033086,0.097571,0.011577,0.008338,3.208470,0.381313,0.386578,0.178147,0.227125,0.348587,0.221454,0.180456,0.150567,0.156990,0.173245,0.124104,0.168058,0.016216,0.000332,0.009363,0.003809,0.019213,0.004261,0.061720,0.000089,0.000543,0.044831,0.026125,0.002100,0.006914,classify_r
0.079484,0.038239,3.037004,0.189106,0.224935,0.620387,0.019232,0.113571,-25.648166,3.044492,0.667159,0.288975,0.604362,-0.017204,0.148264,0.467434,0.007886,-0.246624,-0.017351,0.103924,-0.341949,0.008801,0.000577,0.015732,0.032844,0.082979,0.003214,0.048674,0.003240,0.000519,0.040946,0.017980,0.002077,0.034736,0.035739,0.044665,0.183515,0.039582,0.024789,0.453258,0.010918,0.080610,2.798312,0.549565,0.403605,0.328960,0.353385,0.243653,0.103450,0.109036,0.263521,0.221162,0.198186,0.149386,0.130098,0.011438,0.000407,0.005169,0.039337,0.050760,0.002343,0.043716,0.005174,0.000556,0.035992,0.011182,0.001910,0.005126,classify_r
0.087218,0.009405,2.941141,0.247563,0.305866,0.323245,0.017297,0.056292,-34.500215,2.589644,1.460109,0.651497,0.781730,0.047232,0.177116,0.030481,0.072919,-0.200058,-0.008485,-0.070816,-0.243881,0.025451,0.000466,0.016253,0.004095,0.022327,0.004511,0.069845,0.000154,0.000813,0.093408,0.020905,0.001297,0.037086,0.036466,0.024522,0.179133,0.044664,0.032559,0.208358,0.011456,0.017619,2.915074,0.334332,0.426968,0.194164,0.280099,0.177948,0.161956,0.167218,0.137543,0.129207,0.146378,0.088375,0.119194,0.032452,0.000577,0.008867,0.006884,0.021532,0.006021,0.042987,0.000256,0.001035,0.051936,0.016938,0.002842,0.007461,classify_r
0.055854,0.111941,3.050910,0.161224,0.212904,0.288718,0.027746,0.061429,-25.808572,3.265328,0.818305,0.556143,0.800103,-0.059752,-0.105343,0.383523,0.005944,-0.488661,0.053938,0.050603,-0.327655,0.012715,0.000856,0.016216,0.017891,0.038934,0.008752,0.108211,0.000068,0.000766,0.046171,0.012912,0.000833,0.039052,0.012759,0.126117,0.197870,0.025711,0.033923,0.089194,0.016542,0.008748,3.040481,0.496119,0.419636,0.141175,0.369720,0.231572,0.221420,0.226232,0.178630,0.164518,0.237670,0.194538,0.218299,0.016297,0.000713,0.010502,0.029046,0.035085,0.006228,0.059168,0.000044,0.000984,0.050186,0.011510,0.000750,0.008438,classify_r
0.064745,0.067825,3.118408,0.161782,0.202446,0.407956,0.010837,0.084167,-24.895502,3.430040,0.691790,0.518929,0.451309,-0.213673,0.035383,0.213523,-0.192391,-0.336993,-0.025371,0.103282,-0.257050,0.011279,0.000630,0.011039,0.009740,0.155506,0.014385,0.047543,0.000343,0.002375,0.019977,0.012190,0.001800,0.043990,0.011523,0.052363,0.165078,0.030155,0.033536,0.199952,0.005309,0.022807,2.170067,0.429278,0.303793,0.186231,0.162154,0.284748,0.337419,0.393413,0.252692,0.202882,0.057086,0.149333,0.231736,0.015053,0.000552,0.003425,0.008327,0.055984,0.010273,0.020466,0.000365,0.002631,0.022011,0.009081,0.001201,0.012918,classify_r
0.052318,0.024693,2.992721,0.195028,0.258663,0.191043,0.033573,0.046750,-32.510002,2.895978,1.108239,0.751902,0.644072,0.180388,0.140333,0.065627,-0.000962,-0.068638,0.019568,-0.048712,-0.154271,0.008541,0.000211,0.015674,0.002892,0.033183,0.004656,0.058861,0.000128,0.000590,0.118572,0.013043,0.000318,0.043854,0.015761,0.040559,0.118741,0.026904,0.026589,0.079140,0.007771,0.005761,2.758344,0.278243,0.276964,0.117170,0.097111,0.094847,0.097126,0.077092,0.096662,0.067462,0.060893,0.088121,0.088411,0.002628,0.000163,0.009106,0.002157,0.014050,0.006644,0.032677,0.000153,0.000318,0.022154,0.014520,0.000146,0.004175,classify_r
0.056295,0.039312,3.006673,0.162659,0.219235,0.279661,0.022205,0.062308,-28.516279,3.173296,0.788904,0.718952,0.589855,0.005635,0.132406,0.182384,0.034279,0.029193,0.061715,-0.055024,-0.144348,0.012678,0.000629,0.018262,0.003189,0.053773,0.004607,0.088011,0.000638,0.001020,0.062390,0.015139,0.001179,0.036904,0.020328,0.073034,0.232522,0.026126,0.024313,0.202023,0.022153,0.022923,4.329952,0.302266,0.425891,0.146410,0.205085,0.185658,0.154554,0.099020,0.148041,0.107713,0.133005,0.133229,0.150153,0.011666,0.000964,0.008995,0.004752,0.047805,0.004947,0.058147,0.001214,0.000658,0.040735,0.012058,0.001353,0.009040,classify_r
0.047261,0.032140,3.022923,0.145839,0.209821,0.207896,0.025915,0.057857,-29.858692,3.257309,1.017907,0.887217,0.645939,0.070433,0.157162,0.227185,0.034591,-0.178874,-0.008743,-0.102734,-0.298884,0.011842,0.000338,0.015706,0.004772,0.019499,0.002418,0.111677,0.000056,0.000388,0.070851,0.015274,0.002617,0.042120,0.013052,0.056223,0.188794,0.024207,0.029730,0.267658,0.024267,0.031209,4.186202,0.358222,0.563804,0.180833,0.185229,0.197882,0.150197,0.259510,0.166355,0.139358,0.231233,0.065156,0.161668,0.012740,0.000440,0.009649,0.005100,0.017680,0.002659,0.068663,0.000065,0.000351,0.062780,0.018996,0.005245,0.010969,classify_r
0.052475,0.047693,3.010945,0.167905,0.219289,0.292764,0.028225,0.063125,-29.406521,3.041364,0.761701,0.703646,0.581726,-0.023153,0.177394,0.312072,-0.006438,-0.078854,0.022840,-0.078325,-0.302887,0.012083,0.000308,0.030298,0.008995,0.031433,0.004406,0.080365,0.000059,0.000523,0.061755,0.019709,0.001773,0.038422,0.012946,0.079095,0.210329,0.036505,0.040232,0.239099,0.026613,0.031169,4.475384,0.654305,0.717585,0.263546,0.265559,0.278739,0.377577,0.329568,0.306071,0.166511,0.258511,0.227816,0.135702,0.012485,0.000238,0.031984,0.019506,0.045077,0.008077,0.067914,0.000044,0.000676,0.054217,0.019802,0.003263,0.010875,classify_r
0.053467,0.062348,2.959332,0.188369,0.239281,0.259682,0.022106,0.056000,-28.731409,2.798905,1.006911,0.792281,0.521092,0.102653,0.032378,0.160387,-0.024277,-0.102319,-0.007849,-0.109259,-0.284108,0.012099,0.000509,0.025943,0.008534,0.026603,0.003132,0.065641,0.000157,0.001006,0.086828,0.027352,0.000523,0.037607,0.016616,0.098511,0.250674,0.037873,0.035159,0.146674,0.014423,0.014048,4.657372,0.651428,0.473405,0.264105,0.223750,0.229554,0.239947,0.181015,0.231946,0.146270,0.210158,0.185374,0.170123,0.011053,0.000911,0.020123,0.011398,0.030317,0.002947,0.054505,0.000133,0.001225,0.050853,0.046322,0.000579,0.008923,classify_r
0.063428,0.106741,3.060306,0.188304,0.228105,0.343860,0.021964,0.066154,-26.881716,2.860243,0.925072,0.647238,0.612373,0.170680,-0.143601,0.106771,0.112883,-0.153915,0.020231,-0.026684,-0.286840,0.023258,0.000756,0.028156,0.008385,0.025160,0.012513,0.112978,0.000087,0.000686,0.037001,0.011919,0.000574,0.038921,0.031201,0.135191,0.207524,0.050777,0.046082,0.177675,0.008819,0.024428,4.026718,0.869877,0.605707,0.423415,0.256032,0.217081,0.218446,0.152447,0.139118,0.234175,0.205175,0.223058,0.155332,0.027858,0.000777,0.033894,0.012586,0.021179,0.016316,0.057935,0.000052,0.000664,0.044484,0.017527,0.000461,0.009184,classify_r
0.065414,0.036735,2.940357,0.189507,0.236437,0.339516,0.012766,0.067000,-26.997455,2.811122,0.916469,0.721719,0.287153,0.135492,-0.047198,0.020398,-0.196372,-0.169708,0.108246,-0.061694,-0.086692,0.011226,0.000478,0.034152,0.022400,0.039436,0.022329,0.082548,0.000174,0.001950,0.033014,0.023221,0.001842,0.033892,0.016978,0.060995,0.242141,0.019573,0.015581,0.167957,0.009060,0.019391,3.548923,0.346003,0.365768,0.318969,0.235107,0.361456,0.134097,0.211547,0.261297,0.119472,0.186650,0.147617,0.146889,0.011810,0.000236,0.044733,0.038554,0.016328,0.030063,0.040684,0.000126,0.001474,0.029552,0.027291,0.002732,0.005614,classify_r
0.062406,0.080840,3.065075,0.155838,0.201185,0.294340,0.019770,0.070500,-26.272117,3.460638,0.666162,0.466705,0.538566,-0.147901,-0.162819,0.117937,-0.065429,-0.193190,-0.021917,0.040899,-0.167370,0.006532,0.000334,0.016325,0.038990,0.063492,0.024391,0.059902,0.000153,0.000820,0.041716,0.019800,0.000597,0.039426,0.019331,0.097667,0.229856,0.016347,0.029524,0.134140,0.018939,0.018090,3.153160,0.531719,0.482306,0.427405,0.283898,0.269592,0.286875,0.175573,0.216653,0.205277,0.143062,0.160044,0.236306,0.006969,0.000256,0.010825,0.045926,0.055767,0.031323,0.063245,0.000212,0.001002,0.054488,0.018558,0.000464,0.009013,classify_r
